participant_id,group,module,tips,question_type,question_text,response
exp005,exp,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"The programming module is quite helpful, as it definitely implements the auxiliary input function of programming software and has done color differentiation."
exp006,exp,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,Be able to clearly understand each stop
exp0013,exp,programming_module,"实时预览,即时反馈",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,I think it's great! It is possible to conduct immediate inspection and correction.
baseline003,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,No difficulties encountered
baseline001,baseline,programming_module,代码辅助不完善,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"I found that the current code completion can only complete tags like <div>, but it actually also has the corresponding closing tag </div>, and the current programming modules can't help us complete this closing tag at the same time."
exp004,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"I haven't encountered any difficulties while using it, and currently I don't see any drawbacks."
exp003,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,No
baseline007,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,I don't think there are any shortcomings
baseline008,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"yes,sometimes the response speed is slow."
baseline009,baseline,programming_module,用户体验问题,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"During use, as a beginner, I often forget the fixed format and word spelling in the knowledge points display, frequently switching back and forth between the compiler and the knowledge points display, which is very inconvenient."
baseline004,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,有，部分问题对于错误的定位不精准
baseline005,baseline,programming_module,测试问题,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"I encountered some problems in the chapter on check boxes and radio buttons in Module 3. The task description was not clear enough, and I think there were also some problems with the evaluation of the test results. You can see the details in the video I uploaded."
exp009,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,No. No.
exp015,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"Technical glitches (e.g., execution environment issues) can interrupt flow."
exp007,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,no
exp00121,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,Easy to fail to load
exp0010,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,no
exp0014,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"Sometimes the generated code may not be fully optimized or adapted to specific environments. In some cases, error handling is not detailed enough."
baseline0011,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,No
baseline006,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"Yes, for beginners, it's a bit difficult to transform HTML and change it to CSS"
baseline0013,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,Nonethere are little bugs
baseline0010,baseline,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,No
exp005,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"When encountering tags like <h1></h1>, the auxiliary input function has not been well implemented."
exp006,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,"I want to ask AI, AI is stuck"
exp0013,exp,programming_module,,difficulty,Did you have difficulties when using the Programming Module?What disadvantages do you think it has?,I didn't encounter any difficulties and didn't find any shortcomings.
baseline003,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,no
baseline001,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,"When I enter tags like <div>, it's best to also add the corresponding </div>."
exp004,exp,programming_module,文件管理,suggestion,What suggestions do you have to improve the Programming Module?  ,I think this programming module could also add a file tree to enable switching between multiple files.
exp003,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,No
baseline007,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,No suggestion
baseline008,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Increase response speed and error prompt information.
baseline009,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,It would be better if the compiler could remember my code instead of resetting it by switching pages.
baseline004,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,最好改进布局实现代码一边写，右边实时预览
baseline005,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,It would be better if the test requirements and test results could be optimized
exp009,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Good enough.
exp015,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Ensure robust sandboxing and smooth code execution.
exp007,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,make minor adjustment to the text description
exp00121,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Optimize loading
exp0010,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,no
exp0014,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Include more context-specific debugging guidance and provide alternative coding approaches. Integration with testing frameworks would also be valuable.
baseline0011,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,No
baseline006,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,"It's a bit difficult to transform HTML into CSS, and I hope to have an intuitive template"
baseline0010,baseline,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,No
exp005,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,"So far, there haven't been any other issues encountered except for improving the label assistance input."
exp006,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,Strengthen AI deep learning capabilities
exp0013,exp,programming_module,,suggestion,What suggestions do you have to improve the Programming Module?  ,There are no specific suggestions.
baseline003,baseline,ai_teaching_assistant,"引导式教学,耐心指导",advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Helpful, he introduced me to unfamiliar concepts very carefully based on my level, and instead of directly providing answers to questions, he gradually guided me and helped me understand the knowledge, which was very thoughtful"
baseline001,baseline,ai_teaching_assistant,便利性,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"There's one advantage, which is that there's an AI next to it, so I don't have to switch pages frequently"
exp004,exp,ai_teaching_assistant,"即时帮助,便利性",advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"I believe the AI teaching assistant module can provide immediate answers to my difficulties and questions at any time. The advantage of this module, in my opinion, lies in the interoperability of chat histories between the learning page and the testing page, allowing me to revisit my previously asked questions whenever needed."
exp003,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"When I don't understand something, I can ask it. It seems to know exactly what I'm not understanding, which is amazing. When I'm stuck on a test, the ""Give Me Ideas"" button is handy. When I'm feeling frustrated, it seems to sense my emotions, which is amazing."
baseline007,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,Integrating AI is very creative and greatly helpful for learning
baseline008,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,Yes，easy to browse.
baseline009,baseline,ai_teaching_assistant,"引导式教学,耐心指导",advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"You answered my question very meticulously, even going so far as to guide me gently"
baseline004,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,有，方便是引导学习而不是纯告诉答案
baseline005,baseline,ai_teaching_assistant,"即时帮助,便利性",advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,A very novel thing that can help programmers or learners learn front-end more conveniently. Adding AI to programming allows users to ask questions and solve problems anytime and anywhere without having to jump to other AI web pages.
exp009,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,A lot. I can ask all the questions I want to know quickly.
exp015,exp,ai_teaching_assistant,"引导式教学,耐心指导,即时帮助",advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Yes.Can act as a patient, always-available assistant.He won't directly tell me the answer but will guide me to complete the task step by step."
exp007,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"yes, it knows everything"
exp00121,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Yes, you can ask questions in real time"
exp0010,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,Help me solve the problems I can't understand.
exp0014,exp,ai_teaching_assistant,即时帮助,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Yes, it is very helpful. It offers instant explanations, personalized feedback, and learning support, which greatly enhance the learning experience."
baseline0011,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"When I don't know, I can ask AI, which resolves my confusion."
baseline006,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Yes, it helps to learn programming and front-end knowledge"
baseline0013,baseline,ai_teaching_assistant,便利性,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"just so so,Asking questions is more convenient."
baseline0010,baseline,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"It is very easy to use, allowing me to check errors, organize knowledge points, etc."
exp005,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"Very helpful, most general coding problems and Q&A functions can be well implemented."
exp006,exp,ai_teaching_assistant,,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,A little help
exp0013,exp,ai_teaching_assistant,上下文感知,advantage,Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?,"I think this is the best module! AI can detect the current code situation, make real-time analyses, and the analyses are very accurate. The teaching content is also very helpful, giving the impression of being a teacher."
baseline003,baseline,ai_teaching_assistant,交互不便,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,He cannot directly read the code I output in the compiler and the test results of the code. I need to manually copy it to him in order for him to help me analyze it. This experience is a bit troublesome
baseline001,baseline,ai_teaching_assistant,交互不便,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"Everything requires me to copy and paste into this, making it difficult to use. It's no different from other AIs; basically, it's like I've opened a split screen and placed another AI next to it."
exp004,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"I haven't encountered any difficulties while using it, and find it very user-friendly. I don't see any significant drawbacks."
exp003,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,No
baseline007,baseline,ai_teaching_assistant,响应速度慢,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"The AI response speed is too slow, and there is no feedback during the AI response process, which can easily make users think that the program is stuck.The content answered by AI is very diverse, with code and textual descriptions mixed together"
baseline008,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,No
baseline009,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,Sometimes AI can't grasp the key point of my question
baseline004,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,无
baseline005,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"I haven't encountered any difficulties yet, but maybe due to the settings, sometimes his answers are too long."
exp009,exp,ai_teaching_assistant,术语过于专业,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,Yes. Too many professional terminologys are beyond the understanding of a beginner like me.
exp015,exp,ai_teaching_assistant,回答不够精准,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,May sometimes misinterpret questions or provide overly generic answers.
exp007,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"no, show everything including answer"
exp00121,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,Easy to fail to load
exp0010,exp,ai_teaching_assistant,响应速度慢,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,Response too slow
exp0014,exp,ai_teaching_assistant,回答不够精准,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"At times, the explanations can be too general, and it may not always adapt perfectly to the learner’s prior knowledge."
baseline0011,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,No
baseline006,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"Yes, it helps to learn programming and front-end knowledge"
baseline0013,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,"I don't understand the meaning of the question, it distorts my requirements, and it has too weak a presence; I hardly use it most of the time."
baseline0010,baseline,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,No
exp005,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,There are individual instances where the response was not output in Chinese.
exp006,exp,ai_teaching_assistant,响应速度慢,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,It's a big laggy.
exp0013,exp,ai_teaching_assistant,,difficulty,Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?,No difficulties were encountered.
baseline003,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"I hope to have direct functionality so that he can read the code and test results in the compiler without me having to manually copy them. It would be best to switch modes between the teaching assistant and the code assistant. When changing the code, I don't need him to guide me slowly. I hope he can immediately point out the problem and tell me the solution"
baseline001,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"I hope he can know the content in my web page, such as being able to see my code like a cursor, or being able to see my current test questions and results, or giving me a button so I can one-click share the information with AI."
exp004,exp,ai_teaching_assistant,流式输出,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"I think the AI teaching assistant module could be improved in terms of its output method. Currently, it delivers responses in entire paragraphs at once. I believe it could adopt a streaming output approach instead."
exp003,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No
baseline007,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Optimize AI's response speed and feedback。Optimize code correction speed.Optimize AI answer content
baseline008,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No
baseline009,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,no
baseline004,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"建议可以折叠,建议代码区块可以一键复制"
baseline005,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No ideas at the moment
exp009,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"If you can, make it simpler to use like the ""Programming Module""."
exp015,exp,ai_teaching_assistant,上下文记忆,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Improve context awareness: better memory of prior interactions.
exp007,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,don't show answer
exp00121,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Optimize loading
exp0010,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Improve response speed
exp0014,exp,ai_teaching_assistant,自适应调整,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"Make the feedback more adaptive by considering the learner’s level, and provide step-by-step examples in addition to general explanations."
baseline0011,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No
baseline006,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,"No, I don't think there are any flaws"
baseline0013,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Allow it to access the current learning content.
baseline0010,baseline,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No
exp005,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,No
exp006,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,Enhance AI self-learning capabilities
exp0013,exp,ai_teaching_assistant,,suggestion,What suggestions do you have to improve the  Al Teaching Assistant Module?  ,I think AI could be more guiding rather than simply providing the answers.
